Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_Yes,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_Yes,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_Yes,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male
35,99,7,85,2,2,79,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
19,66,8,74,1,3,64,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
22,89,6,80,1,3,73,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0
20,60,7,82,2,4,63,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1
13,84,5,78,1,2,65,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1
27,97,8,81,0,5,73,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0
25,72,8,94,2,4,70,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
25,67,9,93,2,3,68,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0
15,86,7,57,1,3,65,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
28,89,9,79,0,1,71,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
12,88,6,72,2,2,64,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
24,73,8,64,4,3,68,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1
33,70,6,82,1,4,69,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1
14,98,7,76,0,4,69,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
17,97,8,89,1,4,69,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1
21,78,10,55,1,2,67,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
17,94,8,65,4,6,68,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0
11,78,8,51,2,3,64,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1
20,77,6,87,0,4,66,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
14,66,7,96,3,3,63,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1
23,77,7,79,0,2,66,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1
14,81,9,81,1,3,66,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
29,61,7,52,3,3,67,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
15,78,9,75,1,1,65,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
18,91,5,76,1,3,68,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0
25,87,9,52,1,2,68,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1
13,85,6,89,0,1,65,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1
21,96,8,64,2,0,71,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
28,61,6,86,1,3,65,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
10,82,8,70,3,1,64,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0
21,91,6,100,0,2,72,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
22,82,9,61,2,2,65,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0
25,73,8,53,0,5,66,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
13,65,6,99,0,4,61,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1
12,96,8,62,2,3,68,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
23,79,8,82,3,3,69,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0
22,95,6,69,1,3,72,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0
22,83,5,82,2,3,71,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0
22,87,5,80,2,3,70,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
16,92,5,85,1,2,68,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1
21,86,5,51,2,2,67,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
22,76,8,92,1,4,68,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0
16,81,8,74,3,2,68,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
31,92,4,76,2,4,72,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1
23,75,6,71,0,2,65,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1
13,76,5,99,2,4,66,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
24,64,8,90,0,3,65,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1
14,97,6,66,2,3,67,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0
25,64,5,89,2,4,66,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
27,86,7,72,1,4,69,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
15,77,8,94,0,3,66,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
26,76,6,52,4,3,69,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1
22,87,7,68,0,2,67,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1
25,63,6,71,1,3,66,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1
31,84,9,87,2,3,71,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1
19,91,6,59,5,4,70,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1
15,93,6,64,2,4,71,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1
15,67,7,86,1,3,66,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
15,96,7,54,3,2,67,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1
20,86,8,60,1,4,66,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0
22,95,9,88,0,2,72,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1
22,79,9,94,1,3,68,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1
25,82,6,86,3,3,69,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
20,97,7,76,2,3,71,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1
29,96,9,55,0,2,70,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0
18,78,9,91,2,4,67,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
36,71,6,56,2,2,69,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1
24,76,8,69,2,1,65,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1
15,76,8,53,1,4,65,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1
14,71,8,85,2,4,64,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1
23,71,9,75,1,2,63,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1
19,94,5,95,3,2,69,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1
24,63,6,57,1,5,64,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
23,87,8,91,0,3,72,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
20,67,7,76,0,4,63,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1
15,74,4,68,3,3,64,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
11,62,5,82,3,4,64,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1
17,71,8,90,5,1,67,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1
25,91,8,72,2,0,71,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1
21,95,5,62,1,4,70,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1
13,69,9,96,0,4,61,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
21,79,7,66,2,4,67,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1
22,79,5,100,4,3,72,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
15,95,6,88,1,5,66,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
21,91,5,84,1,2,70,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1
20,81,6,51,3,4,67,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1
13,87,4,72,2,3,67,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0
22,94,7,75,2,2,71,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
23,60,8,69,1,4,66,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1
26,76,5,57,1,4,68,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1
26,96,7,68,3,3,74,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
12,90,6,54,1,3,64,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1
14,82,8,65,1,3,65,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1
23,81,4,54,1,3,66,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1
23,74,8,88,0,3,66,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
23,81,4,84,2,5,68,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1
43,86,7,97,2,1,78,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
23,77,6,69,1,2,67,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
27,89,6,89,3,3,74,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1
26,94,5,79,1,2,74,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1
24,66,9,82,1,2,62,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0
18,78,5,77,2,4,66,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1
25,76,5,89,3,3,69,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
15,87,10,52,2,3,68,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1
19,70,7,54,0,2,89,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1
17,86,5,55,2,4,66,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
20,95,7,64,2,3,68,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
34,77,7,80,0,3,69,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1
9,96,4,82,0,4,67,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1
24,100,6,86,2,5,75,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1
10,64,7,64,0,4,60,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0
17,69,9,83,2,4,66,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0
27,98,7,56,1,3,73,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
20,98,7,50,1,2,68,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
14,64,6,85,0,3,62,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1
16,61,9,86,2,2,62,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1
24,66,8,81,1,4,65,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1
16,100,8,63,2,3,69,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1
21,67,7,96,3,2,64,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0
20,80,5,94,0,4,67,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0
16,94,9,76,0,2,70,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1
33,61,7,99,2,3,70,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
24,84,7,65,3,3,69,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
8,71,8,75,0,3,61,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1
21,94,7,96,0,2,69,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
